epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,312.517,0.76043,0.69013,0.95698,0.97192,0.94658,0.98455,0.76251,0.85335,0.50105,0.97495,0.000159118,0.000159118,0.000159118
43,319.411,0.74233,0.68906,0.95133,0.97267,0.93777,0.98358,0.73735,0.91923,0.51994,0.98346,0.000155121,0.000155121,0.000155121
44,327.28,0.76801,0.71067,0.95782,0.95458,0.957,0.98167,0.75282,0.8304,0.48857,0.96785,0.000151124,0.000151124,0.000151124
45,333.93,0.74752,0.68705,0.94968,0.95393,0.94751,0.98483,0.73607,0.92064,0.52371,0.9854,0.000147126,0.000147126,0.000147126
46,341.653,0.74041,0.69581,0.95507,0.94819,0.95913,0.9865,0.75288,0.83959,0.48758,0.97267,0.000143129,0.000143129,0.000143129
47,348.38,0.74054,0.68073,0.95329,0.95446,0.96291,0.98613,0.74423,0.8771,0.496,0.97315,0.000139132,0.000139132,0.000139132
48,356.21,0.74888,0.67319,0.95234,0.94323,0.96775,0.98565,0.74378,0.87909,0.49081,0.9781,0.000135135,0.000135135,0.000135135
49,363.006,0.7714,0.68026,0.95551,0.95332,0.95384,0.98323,0.74673,0.86862,0.49538,0.98183,0.000131138,0.000131138,0.000131138
50,370.96,0.7311,0.6736,0.94272,0.9573,0.96487,0.98538,0.74921,0.87901,0.48488,0.98039,0.000127141,0.000127141,0.000127141
51,378.244,0.75031,0.66131,0.95385,0.97226,0.95875,0.98733,0.74051,0.88141,0.48845,0.99489,0.000123144,0.000123144,0.000123144
52,385.376,0.73538,0.66066,0.94991,0.97328,0.96604,0.98835,0.75418,0.86277,0.48323,0.98144,0.000119147,0.000119147,0.000119147
53,393.071,0.72354,0.65473,0.94739,0.96747,0.97215,0.98683,0.74691,0.89271,0.4756,0.98359,0.000115149,0.000115149,0.000115149
54,399.795,0.71723,0.64378,0.94445,0.94566,0.96079,0.98276,0.74812,0.866,0.48404,0.98017,0.000111152,0.000111152,0.000111152
55,407.546,0.73666,0.64889,0.94907,0.96874,0.95006,0.98396,0.75381,0.86696,0.47419,0.98373,0.000107155,0.000107155,0.000107155
56,414.495,0.70907,0.63797,0.93585,0.95302,0.95394,0.98307,0.76032,0.84522,0.48131,0.97514,0.000103158,0.000103158,0.000103158
57,422.611,0.72766,0.64705,0.94848,0.94833,0.95676,0.98521,0.75519,0.8424,0.4766,0.97834,9.9161e-05,9.9161e-05,9.9161e-05
58,429.65,0.68927,0.62287,0.93463,0.94385,0.96976,0.98262,0.75418,0.85579,0.48339,0.98144,9.51639e-05,9.51639e-05,9.51639e-05
59,437.718,0.7105,0.64633,0.94471,0.95849,0.97124,0.98643,0.75315,0.86732,0.47061,0.98816,9.11667e-05,9.11667e-05,9.11667e-05
60,445.346,0.70122,0.6331,0.93106,0.96869,0.9617,0.98578,0.7539,0.84763,0.46499,0.97854,8.71696e-05,8.71696e-05,8.71696e-05
61,452.667,0.69905,0.62004,0.93825,0.97846,0.95042,0.98519,0.75092,0.86511,0.46692,0.97861,8.31725e-05,8.31725e-05,8.31725e-05
62,460.822,0.70902,0.63595,0.93464,0.95869,0.94351,0.98181,0.7293,0.93518,0.49421,1.00268,7.91754e-05,7.91754e-05,7.91754e-05
63,467.905,0.72438,0.62538,0.94481,0.94584,0.97036,0.9831,0.74566,0.88174,0.46935,0.98187,7.51782e-05,7.51782e-05,7.51782e-05
64,476.052,0.72017,0.62143,0.94155,0.95587,0.95245,0.98452,0.74724,0.86036,0.47736,0.98756,7.11811e-05,7.11811e-05,7.11811e-05
65,482.955,0.68485,0.61472,0.93048,0.94767,0.96398,0.98295,0.75555,0.84699,0.46115,0.98152,6.7184e-05,6.7184e-05,6.7184e-05
66,491.035,0.67397,0.62094,0.93125,0.96503,0.96069,0.98597,0.76183,0.82823,0.4578,0.97393,6.31869e-05,6.31869e-05,6.31869e-05
67,497.979,0.6762,0.60961,0.92704,0.96268,0.95425,0.98566,0.75559,0.83469,0.45314,0.97349,5.91898e-05,5.91898e-05,5.91898e-05
